src,dst,rel,source_resource,evidence_class
EnzymeEC:1.1.1.195,Compound:sinapyl_aldehyde,has_kinetic_substrate,SKiD,real_evidence
Protein:Q1QUN7,EnzymeEC:1.1.1.203,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.203,Compound:beta-D-glucuronate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.203,Compound:beta-D-galacturonate,has_kinetic_substrate,SKiD,real_evidence
Protein:Q7CRQ0,EnzymeEC:1.1.1.203,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.203,Compound:D-glucuronate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.203,Compound:D-Mannuronate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.203,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.203,Compound:D-galacturonate,has_kinetic_substrate,SKiD,real_evidence
Protein:A0A2R4D3F6,EnzymeEC:1.1.1.205,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.205,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
Protein:A0A6L8P2U9,EnzymeEC:1.1.1.205,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.205,Compound:IMP,has_kinetic_substrate,SKiD,real_evidence
Protein:P0C0H6,EnzymeEC:1.1.1.205,annotated_as_ec,SKiD,real_evidence
Protein:P12268,EnzymeEC:1.1.1.205,annotated_as_ec,SKiD,real_evidence
Protein:P20839,EnzymeEC:1.1.1.205,annotated_as_ec,SKiD,real_evidence
Protein:P9WKI7,EnzymeEC:1.1.1.205,annotated_as_ec,SKiD,real_evidence
Protein:Q756Z6,EnzymeEC:1.1.1.205,annotated_as_ec,SKiD,real_evidence
Protein:P50097,EnzymeEC:1.1.1.205,annotated_as_ec,SKiD,real_evidence
Protein:P50162,EnzymeEC:1.1.1.206,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.206,Compound:Tropine,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.206,Compound:tropinone,has_kinetic_substrate,SKiD,real_evidence
Protein:Q91WR5,EnzymeEC:1.1.1.209,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.209,"Compound:5beta-pregnane-3,20-dione",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,Compound:lithocholic_acid,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,Compound:5alpha-androstan-17beta-ol-3-one,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,"Compound:5alpha-androstan-3beta,17beta-diol",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,"Compound:5alpha-pregnane-3alpha,20alpha-diol",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,Compound:5beta-androstan-17alpha-ol-3-one,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,"Compound:5beta-pregnane-3alpha,20alpha-diol",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,Compound:5beta-pregnane-20alpha-ol-3-one,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,Compound:Epitestosterone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,Compound:5alpha-Androstan-3alpha-ol-17-one,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,"Compound:4-androstene-3,17-dione",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.209,Compound:5alpha-Androstan-17alpha-ol-3-one,has_kinetic_substrate,SKiD,real_evidence
Protein:A0A0M4HL56,EnzymeEC:1.1.1.21,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:Pyridine-3-aldehyde,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:3-Nitrobenzaldehyde,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:D-ribose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:Glyoxal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:benzaldehyde,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:D-galactose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:D-arabinose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:D-xylose,has_kinetic_substrate,SKiD,real_evidence
Protein:O60218,EnzymeEC:1.1.1.21,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:1-Tetradecanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:1-butanal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:1-heptanal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:trans-2-hexen-1-al,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:1-Decanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:trans-2-buten-1-al,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:1-octanal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:nerol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:D-lactoaldehyde,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:1-nonanal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:benzyl_alcohol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:3-deoxyglucosone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:20alpha-hydroxyprogesterone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:1-nonanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:5alpha-pregnan-20alpha-ol-3-one,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,"Compound:5alpha-pregnane-3beta,20alpha-diol",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:geraniol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:1-Dodecanal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,"Compound:5-Pregnene-3beta,20alpha-diol",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:Pyridine-3-methanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:trans-2-decen-1-al,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:glycolaldehyde,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:isocaproaldehyde,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:21-Dehydrocortisol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:1-Hexanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:1-hexanal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:isatin,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,"Compound:2,3-Hexanedione",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:trans-2-nonen-1-al,has_kinetic_substrate,SKiD,real_evidence
Protein:P15121,EnzymeEC:1.1.1.21,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:D-glucose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.21,Compound:L-idose,has_kinetic_substrate,SKiD,real_evidence
Protein:P52895,EnzymeEC:1.1.1.213,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.213,Compound:5alpha-dihydrotestosterone,has_kinetic_substrate,SKiD,real_evidence
Protein:C9E261,EnzymeEC:1.1.1.22,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.22,Compound:UDP-alpha-D-glucose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.22,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
Protein:O60701,EnzymeEC:1.1.1.22,annotated_as_ec,SKiD,real_evidence
Protein:Q0P8H3,EnzymeEC:1.1.1.22,annotated_as_ec,SKiD,real_evidence
Protein:Q19905,EnzymeEC:1.1.1.22,annotated_as_ec,SKiD,real_evidence
Protein:P50163,EnzymeEC:1.1.1.236,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.236,Compound:NADPH,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.236,Compound:tropinone,has_kinetic_substrate,SKiD,real_evidence
Protein:Q9X5C9,EnzymeEC:1.1.1.24,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.24,Compound:L-quinate,has_kinetic_substrate,SKiD,real_evidence
